"URL","Titel","Land","Beschreibung","Ort","Bezug","Staatlich_Öffentlich","Geoportal","GDI","lon","lat"
"https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Verwaltung-Service/Offene-Verwaltungsdaten/index.php?La=1&NavID=37.906&object=tx%7C37.12808.1&kat=&kuo=2&sub=0","Magdeburg Open Data","Deutschland","","Magdeburg","kommunal","ja","","",11.6276000047749,52.1205000051769
"https://opendata.mannheim.de/","Open Data der Stadt Mannheim","Deutschland","","Mannheim","kommunal","ja","","",8.47524200171196,49.4842300045034
"http://www.geoportal-mv.de/","GDI Meck­len­burg-Vor­pom­mern","Deutschland","GeoPortal.MV","Meck­len­burg-Vor­pom­mern","regional","ja","ja","ja",12.4295953051489,53.6126505050643
"https://opendata.meerbusch.de/","Meerbusch Open Data","Deutschland","","Meerbusch","kommunal","ja","","",6.55485636000888,51.326930582338
"http://stadt.mittenwalde.opendata.arcgis.com/","Mittenwalde Open Data","Deutschland","Discover, explore, and download open data from Open Data Stadt Mittenwalde","Mittenwalde","kommunal","ja","","",13.5303585267554,52.2318752085563
"http://offenedaten.moers.de/","Offene Daten Moers","Deutschland","","Moers","kommunal","ja","","",6.64081479965578,51.4516041053657
"https://www.moenchengladbach.de/de/aktuell-aktiv/open-data/","Mönchengladbach Open Data","Deutschland","","Mönchengladbach","kommunal","ja","","",6.44279999943434,51.1805000052636
"https://geo.muelheim-ruhr.de/open-data/13819","Mülheim an der Ruhr Open Data","Deutschland","","Mülheim an der Ruhr","kommunal","ja","","",6.88449999991932,51.4186000053654
"https://www.opengov-muenchen.de/","Open-Data-Portal München","Deutschland","","München","kommunal","ja","","",11.5819805052521,48.135125303389
"http://www.stadt-muenster.de/katasteramt/geodatenmanagement/open-data.html","Münster GeoData","Deutschland","","Münster (Westf.)","kommunal","ja","","",7.62610000070918,51.9607000055184
"http://iatiregistry.org/","Iati Registry","Deutschland","","Berlin","international","nein","","",13.3830611500008,52.5380444550583
"https://transparenz.karlsruhe.de/","Karlsruhe Open Data","Deutschland","","Karlsruhe","kommunal","ja","","",8.40370000164557,49.0069000042347
"https://www.offenesdatenportal.de/organization/krzn","Kommunales Rechenzentrum Niederrhein","Deutschland","","Niederrhein","kommunal","ja","","",6.53209999953894,51.4958000053726
"https://www.geodaten.niedersachsen.de","GDI Niedersachsen","Deutschland","","Niedersachsen","regional","ja","ja","ja",9.84507660294195,52.6367036055205
