name,description,lon,lat,url,open_data_url
"Puchheim, St",,11.3518176,48.1580241,http://puchheim.de,NA
Quickborn,,9.9029286,53.7328945,http://quickborn.de,NA
Rackwitz,,12.3714685,51.4390092,http://rackwitz.de,NA
Ratingen,,6.8493503,51.2973261,http://ratingen.de,NA
Recklinghausen,,7.1978546,51.6143815,http://kreis-recklinghausen.de,NA
Remagen,,7.2311017,50.5784435,NA,NA
Rheinbreitbach,,7.2291175,50.6185836,NA,NA
Rhein-Erft-Kreis,,6.763334,50.90334,http://rhein-erft-kreis.de,NA
Rheinland-Pfalz,,7.4396553,49.7497346,http://rlp.de,http://daten.rlp.de
Rhein-Neckar-Kreis,,8.7352403,49.3684797,http://rhein-neckar-kreis.de,NA
Rhein-Sieg-Kreis,,7.38138057169842,50.752824,http://rhein-sieg-kreis.de,NA
Rheinstetten,,8.2994571,48.9714945,http://rheinstetten.de,NA
Rhens,,7.6162978,50.281527,NA,NA
Ronneburg,,12.1810132,50.8631793,http://ronneburg.de,NA
Rostock,,12.1286127,54.0924445,http://rostock.de,http://opendata-hro.de 
Roxheim,,7.8098763,49.8639145,NA,NA
Rückweiler,,7.2401787,49.5822882,NA,NA
Saarbrücken,,6.9963794,49.2343618,http://saarbruecken.de,NA
Sachsen,,13.4585052,50.9295798,http://sachsen.de,NA
Salzgitter,,10.3489635,52.1480205,http://salzgitter.de,NA
Saulheim,,8.1490682,49.8735238,NA,NA
Schifferstadt,,8.3731645,49.3845728,NA,NA
Schmißberg,,7.2038888,49.6645257,NA,NA
Schnackenburg,,11.5657431,53.0369826,NA,NA
Schwegenheim,,8.3309303,49.270724,NA,NA
Schweisweiler,,7.8239609,49.5900432,NA,NA
Schwerin,,11.4148038,53.6288297,http://schwerin.de,NA
Seesen,,10.1703902,51.8905566,http://seesen.de,NA
Senden,,10.0468113,48.3243749,http://gemeinde-senden.de,NA
Sessenhausen,,7.7138848,50.5270744,NA,NA
Siegen,,8.0162435,50.8710529,http://siegen.de,NA
Simmern,,7.6734439,50.389471,NA,NA
Sinzig,,7.2490828,50.5452042,NA,NA
"Spalt, St",,10.9254208,49.1753302,http://spalt.de,NA
Spangdahlem,,6.68333,49.9833,NA,NA
Speyer,,8.433615,49.3165553,NA,NA
Spiekeroog,,7.72555904783462,53.7666185,NA,NA
Sprendlingen,,7.9862476,49.8598924,NA,NA
Stadt Mittenwalde,Open Data der Stadt Mittenwalde,13.536654,52.2653762,http://www.mittenwalde.de,
Stadt Paderborn,"Informationen bezüglich Paderborn, NRW.",8.7572222222222,51.719444444444,http://www.paderborn.de/,NA
Striegistal,,13.16886797,51.0081435,http://striegistal.de,NA
Stuttgart,,9.1829049,48.7763511,http://stuttgart.de,NA
Thür,,7.2759497,50.3570635,NA,NA
Trier,,6.6444925,49.7599119,NA,NA
Troisdorf,,7.1593271,50.8153071,NA,NA
Uetze,,10.2025806,52.4644432,http://uetze.de,NA
Ulm,,9.9910464,48.398312,http://ulm.de,http://daten.ulm.de
Universitätsbibliothek Leipzig,,12.368229031667,51.332455104722,https://www.ub.uni-leipzig.de,NA
Urbar,,7.7202693,50.1316205,NA,NA
Verbandsgemeinde Altenkirchen (Westerwald),,7.63860730956498,50.68765685,NA,NA
Verbandsgemeinde Bad Breisig,,7.2980569,50.5092867,NA,NA
Verbandsgemeinde Bad Ems,,7.7128538,50.3352062,NA,NA
Verbandsgemeinde Bad Hönningen,,7.3065922,50.5157382,NA,NA
Verbandsgemeinde Bad Kreuznach,,7.8657658,49.8431642,NA,NA
Verbandsgemeinde Birkenfeld,,7.1647477,49.6488236,NA,NA
Verbandsgemeinde Cochem,,7.166281,50.1484113,NA,NA
Verbandsgemeinde Dannstadt-Schauernheim,,8.3097391,49.4355521,NA,NA
Verbandsgemeinde Dierdorf,,7.6570093,50.5479176,NA,NA
Verbandsgemeinde Edenkoben,,8.1284357,49.282236,NA,NA
Verbandsgemeinde Emmelshausen,,7.5545807,50.1564357,NA,NA
Verbandsgemeinde Gerolstein,,6.6618586,50.2234404,NA,NA
Verbandsgemeinde Hamm (Sieg),,7.6783886319334,50.7666871,NA,NA
Verbandsgemeinde Heidesheim am Rhein,,8.12045156609348,50.00275895,NA,NA
Verbandsgemeinde Höhr-Grenzhausen,,7.6695837,50.4369616,NA,NA
Verbandsgemeinde Kandel,,8.19663013629936,49.08594315,NA,NA
Verbandsgemeinde Kastellaun,,7.4429326,50.0715547,NA,NA
Verbandsgemeinde Kirchberg (Hunsrück),,7.35476790609633,49.9330554,NA,NA
Verbandsgemeinde Konz,,6.573793,49.6991955,NA,NA
Verbandsgemeinde Kusel,,7.4008479,49.5399844,NA,NA
Verbandsgemeinde Landstuhl,,7.5722301,49.4143311,NA,NA
Verbandsgemeinde Maxdorf,,8.287455,49.4815909,NA,NA
Verbandsgemeinde Mendig,,7.2805696,50.3693333,NA,NA
Verbandsgemeinde Nieder-Olm,,8.2022984,49.9024441,NA,NA
Verbandsgemeinde Offenbach an der Queich,,8.1928331,49.1959934,NA,NA
Verbandsgemeinde Ransbach-Baumbach,,7.73333,50.4667,NA,NA
Verbandsgemeinde Rheinböllen,,7.6703839,50.0066163,NA,NA
Verbandsgemeinde Rülzheim,,8.2911891,49.1539607,NA,NA
Verbandsgemeinde Ruwer,,6.7289246,49.7616878,NA,NA
Verbandsgemeinde Sankt Goar-Oberwesel,,7.67059682046591,50.1027814,NA,NA
Verbandsgemeinde Selters (Westerwald),,7.74,50.52,NA,NA
Verbandsgemeinde Vallendar,,7.6142479,50.4001381,NA,NA
Verbandsgemeinde Waldfischbach-Burgalben,,7.6584288,49.28576,NA,NA
Verbandsgemeinde Winnweiler,,7.8523678,49.5696123,NA,NA
Wachtendonk,,6.3318,51.4020,NA,NA
Waghäusel,,8.516277,49.2485721,http://waghaeusel.de,NA
Wahlrod,,7.7165507,50.6499392,NA,NA
Waldesch,,7.5462298,50.2806912,NA,NA
Wangerooge,,7.93518076593744,53.7834917,NA,NA
Wattenheim,,8.0619525,49.5217662,NA,NA
Wawern,,6.54127888172516,49.6488728,NA,NA
Weitramsdorf,,10.8794106,50.255237,http://weitramsdorf.de,NA
Wennigsen (Deister),,9.5671846,52.2762744,http://wennigsen.net,http://data.wennigsen.net 
Wesel,,6.5872,51.6698,NA,NA
Weselberg,,7.6088388,49.3347914,NA,NA
Westoverledingen,,7.46667,53.15,http://westoverledingen.de,NA
Wiesbaden,,8.25,50.0833,http://wiesbaden.de,NA
Wilgartswiesen,,7.8690791,49.2075724,NA,NA
Wissen,,7.7355905,50.7827594,NA,NA
Witten,,7.335124,51.4370171,http://witten.de,NA
Wittenburg,,11.0847826,53.505962,http://wittenburg.de,NA
Worms,,8.32120408588846,49.6615131,NA,NA
Wuppertal,,7.1780374,51.264018,http://wuppertal.de,https://www.wuppertal.de/rathaus-buergerservice/offene_daten/index.php
Zapfendorf,,10.9314384,50.0171801,http://zapfendorf.de,NA
Zülpich,,6.6499642,50.6911662,http://zuelpich.de,NA
Zweibrücken,,7.37060801928933,49.2534991,NA,NA
Zwickau,,12.4939267,50.7185043,http://zwickau.de,NA
